id,name,address,street,city,state,zip,latitude,longitude,court_count,lighted,hitting_wall,pickleball_lined,indoor_outdoor,managed_by,reservation_policy,contact_phone,booking_url,court_level_booking_url,hours,description,notes,category,status
1,Alki Playfield,"5817 SW Lander St, Seattle, WA 98136",5817 SW Lander St,Seattle,WA,98136,,,2,True,False,True,outdoor,Seattle Parks & Recreation,Reserve through Seattle Parks,(206) 684-4082,https://anc.apm.activecommunities.com/seattle/reservation/search?keyword=tennis%20court&resourceType=0&equipmentQty=0&facilityCenterIds=134,,,Alki Playground has 2 lighted (March-October) courts located in the NW section of the park. There is a playground in the NE section of the park - Whale Tail Park.,,public_park,active
2,Amy Yee Tennis Center (AYTC),"2000 Martin Luther King Jr Way S, Seattle, WA 98144",2000 Martin Luther King Jr Way S,Seattle,WA,98144,,,6,False,True,False,outdoor,Seattle Parks & Recreation,Reserve through Seattle Parks,(206) 684-4764,https://anc.apm.activecommunities.com/seattle/reservation/search?keyword=tennis%20court&resourceType=0&equipmentQty=0&facilityCenterIds=2,,,"Amy Yee Tennis Center features 6 outdoor courts located east of the indoor facility. The courts have a view of downtown Seattle. The indoor facility amenities include restrooms, water fountains, an on-site parking lot and a lounge area. Outdoor Court #2 has a hitting wall.",This row tracks the 6 outdoor courts only. Amy Yee also has 10 indoor courts (not tracked here). | Indoor row added separately as 'Amy Yee Tennis Center (Indoor)' to capture the 10 indoor courts.,public_park,active
3,Ballard High School Playfield,"1418 NW 65th St, Seattle, WA 98117",1418 NW 65th St,Seattle,WA,98117,,,4,False,False,False,outdoor,Seattle Parks & Recreation,Reserve through Seattle Parks,(206) 684-4082,https://anc.apm.activecommunities.com/seattle/reservation/search?keyword=tennis%20court&resourceType=0&equipmentQty=0&facilityCenterIds=150,,,"Ballard High School Tennis Courts are located along NW 67th St, at the north side of the school. All Seattle Public School Courts are closed to the general public until 4PM during the school year.",,public_park,active
4,Beacon Hill Playfield,"1902 13th Ave S, Seattle, WA 98144",1902 13th Ave S,Seattle,WA,98144,,,2,False,True,True,outdoor,Seattle Parks & Recreation,Reserve through Seattle Parks,(206) 684-4082,https://anc.apm.activecommunities.com/seattle/reservation/search?keyword=tennis%20court&resourceType=0&equipmentQty=0&facilityCenterIds=136,,,Beacon Hill Playfield features 2 tennis courts located on the corner of 13th Ave S and S Grand St,,public_park,active
5,Bitter Lake Playfield,"13035 Linden Ave N, Seattle, WA 98133",13035 Linden Ave N,Seattle,WA,98133,,,4,True,False,True,outdoor,Seattle Parks & Recreation,Reserve through Seattle Parks,(206) 684-4082,https://anc.apm.activecommunities.com/seattle/reservation/search?keyword=tennis%20court&resourceType=0&equipmentQty=0&facilityCenterIds=137,,,Bitter Lake features 4 lighted (Mar-Oct) tennis courts located along N 130th St between Linden and Fremont Ave. These courts were resurfaced in 2020 and include lines for pickleball play,,public_park,active
6,Brighton Playfield,"6000 39th Ave S, Seattle, WA 98136",6000 39th Ave S,Seattle,WA,98136,,,2,False,False,True,outdoor,Seattle Parks & Recreation,Reserve through Seattle Parks,(206) 684-4082,https://anc.apm.activecommunities.com/seattle/reservation/search?keyword=tennis%20court&resourceType=0&equipmentQty=0&facilityCenterIds=138,,,"Brighton features 2 recently resurfaced tennis courts just north of Aki Kurose Middle School, along 39th Ave S",,public_park,active
7,Bryant Playground,"4103 NE 65th St, Seattle, WA 98115",4103 NE 65th St,Seattle,WA,98115,,,2,False,False,False,outdoor,Seattle Parks & Recreation,Reserve through Seattle Parks,(206) 684-4081,https://anc.apm.activecommunities.com/seattle/reservation/search?keyword=tennis%20court&resourceType=0&equipmentQty=0&facilityCenterIds=73,,,"Bryant Playground features two tennis courts in the middle of the park. The courts were resurfaced in July 2020. For more information, call the Tennis Center at (206) 684-4764.",,public_park,active
8,David Rodgers Park,"2800 1st Ave W, Seattle, WA 98119",2800 1st Ave W,Seattle,WA,98119,,,3,False,True,False,outdoor,Seattle Parks & Recreation,Reserve through Seattle Parks,(206) 684-4081,https://anc.apm.activecommunities.com/seattle/reservation/search?keyword=tennis%20court&resourceType=0&equipmentQty=0&facilityCenterIds=93,,,David Rodgers Park features 3 courts located off 1st Ave W and W Armour St. Court 3 has a hitting wall.,,public_park,active
9,Dearborn Park,"2919 S Brandon St, Seattle, WA 98126",2919 S Brandon St,Seattle,WA,98126,,,2,False,False,True,outdoor,Seattle Parks & Recreation,Reserve through Seattle Parks,(206) 684-4081,https://anc.apm.activecommunities.com/seattle/reservation/search?keyword=tennis%20court&resourceType=0&equipmentQty=0&facilityCenterIds=44,,,Dearborn Park features 2 recently resurfaced tennis courts tucked into the south portion of the park,,public_park,active
10,Delridge Playfield,"4458 Delridge Way SW, Seattle, WA 98106",4458 Delridge Way SW,Seattle,WA,98106,,,2,False,False,True,outdoor,Seattle Parks & Recreation,Reserve through Seattle Parks,(206) 684-4082,https://anc.apm.activecommunities.com/seattle/reservation/search?keyword=tennis%20court&resourceType=0&equipmentQty=0&facilityCenterIds=141,,,"Delridge Playfield Tennis and Pickleball Courts have 2 courts that are also lined for pickleball. The courts are located on 26th Ave SW, directly W of the Community Center.",,public_park,active
11,Discovery Park,"3801 Discovery Park Blvd, Seattle, WA 98199",3801 Discovery Park Blvd,Seattle,WA,98199,,,2,False,False,True,outdoor,Seattle Parks & Recreation,Reserve through Seattle Parks,(206) 684-4081,https://anc.apm.activecommunities.com/seattle/reservation/search?keyword=tennis%20court&resourceType=0&equipmentQty=0&facilityCenterIds=96,,,"Discovery Park has 2 tennis courts that also lined for pickleball. They are located in the SE portion of the park, near the playground",,public_park,active
12,Froula Playground,"7200 12th Ave NE, Seattle, WA 98115",7200 12th Ave NE,Seattle,WA,98115,,,2,False,False,False,outdoor,Seattle Parks & Recreation,Reserve through Seattle Parks,(206) 684-4081,https://anc.apm.activecommunities.com/seattle/reservation/search?keyword=tennis%20court&resourceType=0&equipmentQty=0&facilityCenterIds=208,,,"Froula Playground has 2 resurfaced (2019) courts located off of 12th Ave NE and NE 72nd St. For more information, call the Tennis Center at (206) 684-4764.",,public_park,active
13,Garfield Playfield,"2323 E Cherry St, Seattle, WA 98122",2323 E Cherry St,Seattle,WA,98122,,,2,True,False,False,outdoor,Seattle Parks & Recreation,Reserve through Seattle Parks,(206) 684-4082,https://anc.apm.activecommunities.com/seattle/reservation/search?keyword=tennis%20court&resourceType=0&equipmentQty=0&facilityCenterIds=144,,,"Garfield has 2 lighted tennis courts (Mar-Oct) located on the corner of E Cherry St and 25th Ave, just E of the Community Center.",,public_park,active
14,Gilman Playfield,"923 NW 54th St, Seattle, WA 98107",923 NW 54th St,Seattle,WA,98107,,,2,False,False,True,outdoor,Seattle Parks & Recreation,Reserve through Seattle Parks,(206) 684-4082,https://anc.apm.activecommunities.com/seattle/reservation/search?keyword=tennis%20court&resourceType=0&equipmentQty=0&facilityCenterIds=146,,,Gilman Playfield has 2 courts located on NW 53rd St and 11th Ave NW.,,public_park,active
